acct_id,subscription_expected_events,subscription_actual_events,subscription_event_gap,subscription_utilization_pct,subscription_packages
151352,48.0,46,2.0,0.9583333333333333,1
151814,8.0,8,0.0,1.0,1
152133,30.0,36,-6.0,1.777777777777778,2
152518,6.0,1,5.0,0.16666666666666666,1
153079,6.0,6,0.0,1.0,1
154245,12.0,12,0.0,1.0,2
154850,6.0,6,0.0,1.0,1
155367,12.0,12,0.0,1.0,1
155730,6.0,6,0.0,1.0,1
156093,12.0,12,0.0,1.0,1
156434,36.0,32,4.0,0.8888888888888888,1
156500,12.0,12,0.0,1.0,1
156577,6.0,6,0.0,1.0,1
156775,12.0,12,0.0,1.0,1
156863,12.0,12,0.0,1.0,1
157347,48.0,44,4.0,0.9166666666666666,2
157798,12.0,15,-3.0,1.25,2
158029,4.0,3,1.0,0.75,1
158216,4.0,4,0.0,1.0,1
158425,12.0,12,0.0,1.0,1
158469,6.0,6,0.0,1.0,1
158744,6.0,6,0.0,1.0,1
158799,6.0,6,0.0,1.0,1
159602,6.0,6,0.0,1.0,1
160548,12.0,12,0.0,1.0,1
160713,12.0,12,0.0,1.0,1
161824,12.0,12,0.0,1.0,1
163221,6.0,6,0.0,1.0,1
163639,24.0,18,6.0,0.6944444444444445,3
163793,8.0,8,0.0,1.0,2
164332,6.0,6,0.0,1.0,1
165344,18.0,24,-6.0,1.5,2
165366,60.0,46,14.0,0.6527777777777778,2
165839,66.0,49,17.0,0.6851851851851851,2
166312,12.0,12,0.0,1.0,1
166686,6.0,6,0.0,1.0,1
167885,12.0,12,0.0,1.0,1
168622,12.0,12,0.0,1.0,1
168886,84.0,49,35.0,0.5208333333333334,4
169029,8.0,8,0.0,1.0,1
169766,24.0,24,0.0,1.0,1
169788,12.0,18,-6.0,1.5,1
170503,6.0,1,5.0,0.16666666666666666,1
170866,6.0,6,0.0,1.0,1
171196,12.0,12,0.0,1.0,1
171284,6.0,6,0.0,1.0,1
171801,6.0,6,0.0,1.0,1
172472,12.0,10,2.0,0.8333333333333333,1
173572,12.0,10,2.0,0.8333333333333334,1
174705,12.0,12,0.0,1.0,1
175343,12.0,12,0.0,1.0,1
175981,54.0,34,20.0,0.6435185185185185,3
177103,12.0,11,1.0,0.9166666666666667,1
177554,12.0,13,-1.0,1.0833333333333333,1
177675,12.0,12,0.0,1.0,1
177763,8.0,7,1.0,0.875,2
178027,12.0,10,2.0,0.8333333333333333,1
178566,12.0,12,0.0,1.0,2
178632,16.0,10,6.0,0.75,2
179171,6.0,6,0.0,1.0,1
179699,6.0,6,0.0,1.0,1
179831,12.0,8,4.0,0.6666666666666666,1
179853,8.0,8,0.0,1.0,1
180084,48.0,39,9.0,0.8125,1
180326,24.0,22,2.0,0.9166666666666666,1
180579,12.0,11,1.0,0.9166666666666667,1
180865,12.0,12,0.0,1.0,1
181404,6.0,6,0.0,1.0,1
181756,12.0,10,2.0,0.8333333333333333,1
182306,12.0,13,-1.0,1.0833333333333335,1
183010,12.0,11,1.0,0.9166666666666667,1
183142,12.0,12,0.0,1.0,1
183802,6.0,6,0.0,1.0,1
184627,12.0,12,0.0,1.0,1
185540,24.0,23,1.0,0.9583333333333333,1
186068,12.0,13,-1.0,1.0833333333333335,1
186332,12.0,6,6.0,0.5,1
186442,8.0,8,0.0,1.0,1
186607,12.0,12,0.0,1.0,2
186651,12.0,11,1.0,0.9166666666666667,1
187014,12.0,6,6.0,0.5,2
187740,12.0,11,1.0,0.9166666666666667,1
187993,18.0,12,6.0,0.6666666666666666,2
188037,24.0,24,0.0,1.0,1
188103,10.0,10,0.0,1.0,2
188455,12.0,12,0.0,1.0,1
188994,12.0,12,0.0,1.0,1
189258,48.0,37,11.0,0.7708333333333334,1
189940,8.0,8,0.0,1.0,1
190072,6.0,6,0.0,1.0,1
190204,8.0,8,0.0,1.0,1
190556,12.0,12,0.0,1.0,1
191315,12.0,12,0.0,1.0,1
192096,12.0,12,0.0,1.0,1
192173,24.0,25,-1.0,1.0416666666666665,1
192426,12.0,11,1.0,0.9166666666666667,1
192800,18.0,18,0.0,1.0,2
193163,6.0,6,0.0,1.0,1
193625,12.0,12,0.0,1.0,2
194010,8.0,7,1.0,0.875,2
194538,12.0,12,0.0,1.0,1
194681,12.0,12,0.0,1.0,1
195715,24.0,24,0.0,1.0,1
196683,10.0,8,2.0,0.8333333333333333,2
196782,4.0,4,0.0,1.0,1
