acct_id,fiscal_year,price_code_type,package_size,actual_events,tickets_sold,avg_seats_per_event,expected_events,event_gap,utilization_pct
156434,FY23,Fixed Established Subscription 18 Concert,18.0,14,14,1.0,18.0,4.0,0.7777777777777778
156434,FY24,Fixed Established Subscription 18 Concert,18.0,18,18,1.0,18.0,0.0,1.0
156500,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156500,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156577,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
156775,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156775,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
156863,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
156863,FY24,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
157347,FY23,Fixed Sophomore Subscription 24 Concert,24.0,22,22,1.0,24.0,2.0,0.9166666666666666
157347,FY24,Fixed Established Subscription 24 Concert,24.0,22,28,1.1666666666666667,24.0,2.0,0.9166666666666666
157798,FY23,Fixed Sophomore Subscription 6 Concert,6.0,8,16,2.0,6.0,-2.0,1.3333333333333333
157798,FY24,Fixed Established Subscription 6 Concert,6.0,7,24,1.263157894736842,6.0,-1.0,1.1666666666666667
158029,FY23,Fixed Freshman Subscription Sunday,4.0,3,6,2.0,4.0,1.0,0.75
158216,FY23,Fixed Established Subscription Sunday,4.0,4,8,2.0,4.0,0.0,1.0
158425,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
158425,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
158469,FY24,Fixed Freshman Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
158744,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
158799,FY23,Fixed Established Subscription 6 Concert,6.0,6,6,1.0,6.0,0.0,1.0
159602,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
160548,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
160548,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
160713,FY23,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
160713,FY24,Fixed Established Subscription 6 Concert,6.0,6,12,2.0,6.0,0.0,1.0
