purchase_price,seats_sold,transactions,unique_events,total_revenue,cumulative_quantity,cumulative_share,share_of_total,avg_price
55.0,2033,905,98,111815.0,35106,0.43089121549470377,0.024953051931314668,56.44526530261559
54.5,145,83,11,7902.5,35251,0.4326709462030366,0.0017797307083328219,56.44526530261559
54.0,1667,901,50,90042.0,36918,0.4531317123464215,0.020460766143384924,56.44526530261559
53.9,11,3,2,592.9,36929,0.4532667264001571,0.0001350140537355934,56.44526530261559
53.6,3,2,2,160.8,36932,0.4533035484148123,3.682201465516183e-05,56.44526530261559
53.5,226,124,41,12091.0,37158,0.4560774735188345,0.0027739251040221915,56.44526530261559
53.0,643,298,42,34079.0,37801,0.4639696586599241,0.007892185141089686,56.44526530261559
52.0,383,207,82,19916.0,38184,0.4686706025308998,0.0047009438709756605,56.44526530261559
51.5,144,74,49,7416.0,38328,0.47043805923434756,0.001767456703447768,56.44526530261559
51.25,192,110,29,9840.0,38520,0.47279466817227794,0.002356608937930357,56.44526530261559
51.0,3198,1478,57,163098.0,41718,0.5120469357946804,0.03925226762240251,56.44526530261559
50.5,33,23,8,1666.5,41751,0.5124519779558873,0.00040504216120678017,56.44526530261559
50.15,40,16,4,2006.0,41791,0.5129429381512893,0.0004909601954021578,56.44526530261559
50.0,2056,1120,70,102781.01,43847,0.5381782921949603,0.02523535404367091,56.44526530261559
49.6,10,5,1,496.0,43857,0.5383010322438109,0.00012274004885053945,56.44526530261559
49.25,50,27,20,2462.5,43907,0.5389147324880635,0.0006137002442526972,56.44526530261559
49.0,2005,847,57,98114.33,45912,0.5635241122825967,0.02460937979453316,56.44526530261559
48.8,9,5,2,439.2,45921,0.5636345783265622,0.0001104660439654855,56.44526530261559
48.5,270,149,26,13095.0,46191,0.5669485596455267,0.003313981318964565,56.44526530261559
48.0,216,113,16,10368.0,46407,0.5695997447006984,0.002651185055171652,56.44526530261559
47.0,2498,1312,67,117387.0,48905,0.6002602089035631,0.03066046420286475,56.44526530261559
46.75,34,15,5,1589.5,48939,0.600677525069655,0.0004173161660918341,56.44526530261559
46.25,335,176,31,15493.75,49274,0.604789316706148,0.004111791636493071,56.44526530261559
46.0,488,289,45,22448.0,49762,0.6107790310900544,0.005989714383906324,56.44526530261559
45.0,5093,2541,105,229185.0,54855,0.6732905379696341,0.06251150687957974,56.44526530261559
44.0,1061,553,98,46640.0,55916,0.6863132571526763,0.013022719183042234,56.44526530261559
43.35,8,3,3,346.8,55924,0.6864114491917568,9.819203908043156e-05,56.44526530261559
43.25,2,1,1,86.5,55926,0.6864359972015269,2.454800977010789e-05,56.44526530261559
43.2,16,9,7,691.2,55942,0.6866323812796877,0.0001963840781608631,56.44526530261559
43.0,890,526,53,38270.0,56832,0.6975562456273857,0.010923864347698011,56.44526530261559
42.0,585,369,51,24570.0,57417,0.7047365384851423,0.007180292857756557,56.44526530261559
41.25,2,1,1,82.5,57419,0.7047610864949124,2.454800977010789e-05,56.44526530261559
41.0,1932,993,56,79133.0,59351,0.7284744639328367,0.023713377437924222,56.44526530261559
40.8,30,15,5,1224.0,59381,0.7288426840793882,0.00036822014655161833,56.44526530261559
40.75,44,44,31,1793.0,59425,0.7293827402943306,0.0005400562149423736,56.44526530261559
40.0,1101,659,55,43986.66,60526,0.742896419672775,0.013513679378444393,56.44526530261559
39.5,128,77,15,5056.0,60654,0.744467492298062,0.001571072625286905,56.44526530261559
39.2,2,1,1,78.4,60656,0.744492040307832,2.454800977010789e-05,56.44526530261559
