price_code,total_revenue,avg_price,ticket_count,unique_patrons,pct_of_tickets,pct_of_revenue
E3S,2134.25,43.55612244897959,49,16,0.07,0.03
GL1,2082.0,90.52173913043478,23,7,0.03,0.03
BL1,2070.0,64.6875,32,7,0.04,0.03
KAJ,1995.0,997.5,2,2,0.0,0.03
EE3,1992.0,31.125,64,4,0.09,0.03
HE4,1953.0,52.78378378378378,37,3,0.05,0.03
CC2,1922.6000000000001,76.90400000000001,25,23,0.03,0.03
D33,1881.0,72.34615384615384,26,13,0.04,0.03
B,1833.0,141.0,13,12,0.02,0.03
FL1,1763.5,103.73529411764706,17,5,0.02,0.02
GS2,1742.0,87.1,20,3,0.03,0.02
AC2,1740.0,158.1818181818182,11,2,0.01,0.02
GF2,1672.0,83.6,20,4,0.03,0.02
H,1653.0,75.13636363636364,22,17,0.03,0.02
DF4,1649.5,17.182291666666668,96,5,0.13,0.02
FS4,1634.5,74.29545454545455,22,3,0.03,0.02
GU3,1620.0,90.0,18,1,0.02,0.02
JE4,1592.0,21.513513513513512,74,5,0.1,0.02
I0B,1582.0,14.924528301886792,106,89,0.14,0.02
CLS,1578.0,60.69230769230769,26,8,0.04,0.02
G,1547.5,128.95833333333334,12,12,0.02,0.02
I33,1518.0,52.3448275862069,29,11,0.04,0.02
E0B,1492.0,14.485436893203884,103,86,0.14,0.02
DE3,1462.0,34.80952380952381,42,4,0.06,0.02
I,1404.5,73.92105263157895,19,16,0.03,0.02
CM4,1384.0,20.352941176470587,68,6,0.09,0.02
JE2,1334.0,30.318181818181817,44,8,0.06,0.02
AF3,1334.0,78.47058823529412,17,3,0.02,0.02
GU4,1243.0,54.04347826086956,23,2,0.03,0.02
A1E,1241.5,177.35714285714286,7,2,0.01,0.02
IE3,1218.0,38.0625,32,5,0.04,0.02
I39,1209.0,71.11764705882354,17,11,0.02,0.02
CU2,1162.5,52.84090909090909,22,5,0.03,0.02
F1E,1146.0,191.0,6,1,0.01,0.02
FM1,1142.0,103.81818181818181,11,1,0.01,0.02
CS3,1134.0,49.30434782608695,23,5,0.03,0.02
IF2,1123.5,30.364864864864863,37,4,0.05,0.02
H33,1122.0,62.333333333333336,18,13,0.02,0.02
GF4,1109.5,50.43181818181818,22,3,0.03,0.02
EL1,1104.0,38.06896551724138,29,6,0.04,0.02
AM3,1104.0,48.0,23,2,0.03,0.02
IS4,1098.0,39.214285714285715,28,2,0.04,0.02
F2E,1086.0,181.0,6,1,0.01,0.02
CU4,1082.25,41.625,26,3,0.04,0.02
EC2,1067.2,71.14666666666668,15,10,0.02,0.01
JAJ,1065.0,48.40909090909091,22,18,0.03,0.01
